key,region,days,name,emoji,c1,c2,price,meta,tags,tip,tipClass,b1,b1c,b2,b2c,b3,b3c
tw_taipei1day,taiwan,1,台北故宮＋淡水老街,🏛️,#fde68a,#fb923c,1980,"台北市・小團12人・♿無障礙",taiwan easy accessible,一日遊,b-orange,♿ 無障礙,b-green,🌅 一日輕鬆,b-orange,🚌 全程專車,b-blue
tw_taichung1day,taiwan,1,台中彩虹眷村＋逢甲夜市,🎨,#fbbf24,#f472b6,1880,"台中市・小團12人・♿無障礙",taiwan easy accessible,一日遊,b-orange,♿ 無障礙,b-green,🌅 一日輕鬆,b-orange,🚌 全程專車,b-blue
tw_kaohsiung1day,taiwan,1,高雄蓮池潭＋駁二藝術特區,🪷,#86efac,#22d3ee,1880,"高雄市・小團12人・♿無障礙",taiwan easy accessible,一日遊,b-orange,♿ 無障礙,b-green,🌅 一日輕鬆,b-orange,🚌 全程專車,b-blue
tw_yilan2d,taiwan,2,宜蘭溫泉礁溪養生 2天1夜,♨️,#6ee7b7,#3b82f6,5800,"宜蘭礁溪・小團12人・♿無障礙",taiwan easy accessible,泡湯首選,b-teal,♿ 無障礙,b-green,♨️ 溫泉養生,b-teal,🍚 銀髮餐,b-green
tw_kenting2d,taiwan,2,墾丁南灣海景悠閒 2天1夜,🌊,#34d399,#facc15,5980,"屏東墾丁・小團12人・♿無障礙",taiwan easy accessible,海景首選,b-teal,♿ 無障礙,b-green,🌊 海景療癒,b-teal,🚌 全程專車,b-blue
tw_beitou2d,taiwan,2,北投溫泉文化館養生 2天1夜,♨️,#a5f3fc,#818cf8,5600,"台北北投・小團10人・♿無障礙",taiwan easy accessible,療癒之旅,b-teal,♿ 無障礙,b-green,♨️ 溫泉放鬆,b-teal,🏥 醫療保障,b-blue
tw_taichung3d,taiwan,3,台中日月潭清境農場 3天2夜,🌄,#fde68a,#4ade80,8800,"台中・南投・小團12人・♿無障礙",taiwan easy accessible,山水之美,b-green,♿ 無障礙,b-green,🌄 山景療癒,b-green,🚌 全程專車,b-blue
tw_tainan3d,taiwan,3,台南古蹟美食文化 3天2夜,🏯,#fbbf24,#f97316,8500,"台南市・小團12人・♿無障礙",taiwan easy accessible,文化饗宴,b-orange,♿ 無障礙,b-green,🍜 在地美食,b-orange,🚌 全程專車,b-blue
tw_penghu3d,taiwan,3,澎湖藍海玄武岩 3天2夜,🏝️,#38bdf8,#34d399,9800,"澎湖群島・小團10人・♿無障礙",taiwan easy accessible,離島探秘,b-teal,♿ 無障礙,b-green,🌊 海島慢遊,b-teal,🍚 海鮮美食,b-orange
tw_hualien4d,taiwan,4,花蓮太魯閣峽谷縱走 4天3夜,🏔️,#67e8f9,#818cf8,12800,"花蓮縣・小團10人・♿無障礙",taiwan accessible,峽谷奇景,b-blue,♿ 無障礙,b-green,🏔️ 山水奇景,b-blue,🚌 全程專車,b-blue
